"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010608","GO:0010608","post-transcriptional regulation of gene expression","209/3911","497/12961",0.420523138832998,1.39360787584109,5.8821402203152,7.00164004148646e-09,3.60654478536968e-05,3.60654478536968e-05,"RBM47/ACO1/SPOUT1/BZW1/TRAF5/CACNA2D1-AS1/CPEB2/IGFBP5/MRPL4/MTG1/INPP5E/SYNCRIP/RPS6KB1/NGRN/MAPKAPK5/EIF4EBP2/EIF2B2/SAMD4B/EIF4B/PNPT1/EEF2K/TENT2/TUT7/EIF4A2/PDE12/AGO1/HSPB1/NYNRIN/SHMT2/ZC3H18/ZNF385A/ANGEL2/TIRAP/DAPK1/TRUB2/LARP1B/EIF1/EIF4G1/CNOT3/EIF5A/ZC3H12A/SARNP/ACE/SSB/IGF2BP1/PRKCH/PUM2/AARS1/C1QBP/NSUN2/UNK/PAIP1/ELP2/CUL4B/EIF3B/KHDRBS1/AKT2/KLHL25/PA2G4/MKNK1/RBM38/METTL1/PCIF1/CASC3/PURB/LSM2/EIF3C/ELAVL1/YBX1/CAPRIN1/EIF4G3/SARS1/CAPRIN2/ILF3/ELP5/CDC37/DICER1/STAU1/DCAF12/MSI2/BTG2/RNH1/DHFR/ALKBH5/NOLC1/FXR2/MRPL1/CELF4/FASTKD5/EIF2S3/EIF5/DDX6/KHNYN/CIRBP/KBTBD8/LSM14B/OGT/PPP1R15B/RPUSD4/MRPL44/NEAT1/CAV1/CSDE1/DKC1/TACO1/SELENOT/PABPC1L/ATXN2/ZFP36L1/RBM3/ELP1/TSN/RIPK1/MTPN/ROCK1/ZC3H7B/KHSRP/APP/ZFP36/IGF2BP2/E2F1/CNOT7/NT5C3B/DDB1/TARBP2/NAT10/JMJD4/RPS27L/EIF1B/RAN/SPACA6-AS1/RPUSD3/PABPC1/PIAS4/MTOR/CNOT11/TOB1/BZW2/EIF2AK3/APEX1/HNRNPA0/CSNK2A1/IFRD2/ELOB/PER1/PAIP2B/EIF4G2/EIF3H/DDX1/MTG2/HNRNPU/PPP1CA/HELZ2/LSM4/PATL1/TUT1/ELP6/METTL8/LSM14A/POLR2G/AKT1/PAIP2/FASTK/GCN1/PKM/XRN1/NCBP1/EDC4/NRDE2/RBM33/RBM8A/THRAP3/POLDIP3/GUF1/NANOS1/DXO/SECISBP2/VIM/GDNF/TRUB1/CNOT9/SESN2/EIF4H/SHFL/EIF2S2/LARP1/MOV10/RPL26/RBM24/FUS/ZNF598/COA3/PPP1R15A/LARP4/LARP4B/ATG14/OIP5-AS1/DDX49/PNN/TCOF1/CARHSP1/ENC1/PRKCA/OTUD6B/LSM7/NCL/LSM3/PRMT1/LSM5",209
"GO:0080135","GO:0080135","regulation of cellular response to stress","199/3911","478/12961",0.416317991631799,1.37967207607767,5.56013375645618,4.07552109983779e-08,0.000104965045926322,0.000104965045926322,"KAT5/ZCWPW1/MAPK8IP2/AIFM2/AUNIP/BCAP31/TAF5L/FIGNL2/HERPUD1/EYA4/ZNHIT1/TAF9B/KIAA0319/HSPA5/CCDC117/SMARCC1/SGTA/MAPK1/ZNF385A/SPIRE2/NPAS2/CHORDC1/PLK1/PTPN1/TIMELESS/TAF7/EGFR/EIF4G1/CREB3L1/CERS2/MCRS1/DPF2/BAX/PARP3/BAK1/TWIST1/BAG6/PBRM1/NUDT16L1/PUM2/H2AX/PPP4R3B/C1QBP/SNAI2/MORF4L2/RTEL1/CLU/CUL4B/AKT2/PLA2R1/SMARCE1/CREBRF/NUPR1/OTUB1/YY1/ACTR2/USP13/INSIG1/DNAJC2/STUB1/SPRED2/SPRING1/LPCAT3/YJU2/EFHD1/DHFR/RAD52/TFIP11/MYC/MUC1/SLC25A14/DDIT3/UBE2N/PSMD10/PAQR3/SIRT6/BRD4/PPP4R2/ATM/PPP1R15B/TAF6L/INO80D/MAPKAP1/BRCC3/CAV1/CREBBP/TADA2B/BRD7/FOXM1/RPA2/BCL7B/NFRKB/ADCYAP1R1/NBN/DNAJC7/USP14/UBQLN4/MID1/APP/HMGB1/XBP1/ATXN3/CXCL12/RAD50/ACTB/NBR1/PARK7/ARHGEF2/DNAJB1/DDB1/USP22/MARCHF6-DT/CCAR2/IER5/ACTL6A/PMAIP1/EEF1E1/TADA3/PIAS4/RIOX1/KAT2A/MTOR/CYREN/DDAH1/SHLD2/EIF2AK3/BAD/MEAF6/TAF4/OGG1/ATXN7L3/CSNK2A1/PIK3CB/TRIM28/ERCC1/SHISA5/KMT5A/TMEM33/KLHL15/MANF/SOX4/DMAP1/SMARCA4/APLF/SVIP/ATAD5/FBXW7/SKP1/SMARCD1/FAM168A/DNAJB6/HSPA1A/SKP2/DDX5/CREB3/ARID1B/AKT1/TMBIM6/CD44/INO80/PPIA/TMEM161A/PTTG1IP/TMX1/SIRT1/RNFT2/USP25/BCL2L1/OPA1/SF3B3/TRRAP/FAS/LRRK2/RPL26/GRN/PARP1/SMARCB1/SETD2/FUS/BCL7A/RMI2/EYA1/CUL1/BCL2L12/PPP1R15A/BCL7C/SGF29/RUVBL1/ERN1/HSF1/SLF2/UFL1/SEMA4C/TELO2/QARS1/TRIAP1/MDM2/PRMT1/CEBPG",199
"GO:0006401","GO:0006401","RNA catabolic process","145/3911","337/12961",0.43026706231454,1.42589910372251,5.20769214455418,2.89468633548307e-07,0.000490834856598083,0.000490834856598083,"RBM47/ALYREF/TRAF5/RIOK3/LSM11/SYNCRIP/SNRPD3/DHX34/SKIC8/SAMD4B/PNPT1/TENT2/TUT7/INTS11/PDE12/FEN1/AGO1/NYNRIN/ZC3H18/INTS3/ANGEL2/TIRAP/ARMC5/LARP1B/CNOT3/SMG7/ZC3H12A/INTS7/SSB/IGF2BP1/PUM2/C1QBP/NSUN2/PAIP1/RNASEH1/TTC5/RBM38/METTL1/CASC3/LSM2/PPP1R8/ELAVL1/YBX1/CAPRIN1/DNA2/PPP2CA/DICER1/BTG2/RNH1/ALKBH5/FXR2/SNRPB/N4BP2/RNASET2/XRN2/FASTKD5/RNASEH2A/DDX6/KHNYN/CIRBP/LSM14B/INTS2/ATM/EXOSC10/NEAT1/MRTO4/CSDE1/DKC1/ZFC3H1/ZFP36L1/ROCK1/KHSRP/ZFP36/IGF2BP2/E2F1/CNOT7/POP1/ZPR1/TRIR/NT5C3B/PABPC1/PIAS4/CNOT11/TOB1/RBM27/APEX1/HNRNPA0/GRSF1/ELOB/HNRNPU/LSM4/PATL1/TUT1/POLR2G/HSPA1A/DDX5/AKT1/FASTK/XRN1/NCBP1/EDC4/PABPN1/NRDE2/RBM33/RBM8A/WDR82/THRAP3/NANOS1/SNRPG/DXO/VIM/RNF10/GDNF/CNOT9/SMG9/CPSF2/LARP1/MOV10/RBM24/FUS/SLIRP/ZC3H4/NBDY/ZNF598/INTS5/EXOSC3/LARP4B/ERN1/OIP5-AS1/DDX49/HSPA1B/SLFN5/SMG6/PNN/CSTF2/CARHSP1/PPP2R1A/ZCCHC8/DIS3L/PRKCA/LSM7/INTS14/RNASEH2C/LSM3/LSM5",145
"GO:0006417","GO:0006417","regulation of translation","142/3911","330/12961",0.43030303030303,1.42601830113975,5.1533362146784,3.81156945523652e-07,0.000490834856598083,0.000490834856598083,"ACO1/BZW1/CPEB2/IGFBP5/MRPL4/MTG1/INPP5E/SYNCRIP/RPS6KB1/NGRN/MAPKAPK5/EIF4EBP2/EIF2B2/SAMD4B/EIF4B/EEF2K/EIF4A2/AGO1/HSPB1/SHMT2/ZNF385A/DAPK1/TRUB2/LARP1B/EIF1/EIF4G1/CNOT3/EIF5A/SARNP/SSB/IGF2BP1/PRKCH/PUM2/AARS1/C1QBP/UNK/PAIP1/ELP2/EIF3B/KHDRBS1/AKT2/KLHL25/PA2G4/MKNK1/PCIF1/CASC3/PURB/EIF3C/ELAVL1/YBX1/CAPRIN1/EIF4G3/SARS1/CAPRIN2/ILF3/ELP5/MSI2/BTG2/DHFR/ALKBH5/NOLC1/FXR2/MRPL1/CELF4/EIF2S3/EIF5/DDX6/CIRBP/KBTBD8/LSM14B/OGT/PPP1R15B/RPUSD4/MRPL44/CSDE1/TACO1/SELENOT/PABPC1L/ATXN2/ZFP36L1/RBM3/ELP1/MTPN/APP/ZFP36/IGF2BP2/CNOT7/TARBP2/NAT10/JMJD4/RPS27L/EIF1B/RPUSD3/PABPC1/MTOR/CNOT11/TOB1/BZW2/EIF2AK3/CSNK2A1/IFRD2/PAIP2B/EIF4G2/EIF3H/DDX1/MTG2/HNRNPU/PPP1CA/ELP6/METTL8/LSM14A/POLR2G/AKT1/PAIP2/GCN1/PKM/XRN1/NCBP1/RBM8A/POLDIP3/GUF1/NANOS1/SECISBP2/CNOT9/SESN2/EIF4H/SHFL/EIF2S2/LARP1/RPL26/RBM24/ZNF598/COA3/PPP1R15A/LARP4/LARP4B/TCOF1/ENC1/PRKCA/OTUD6B/NCL/PRMT1",142
"GO:0000082","GO:0000082","G1/S transition of mitotic cell cycle","91/3911","195/12961",0.466666666666667,1.54652688996846,5.05502769782231,7.84849986488254e-07,0.000808552456080199,0.0008085524560802,"PLK3/PSMA4/LSM11/RPS6KB1/CCNF/DGKZ/CCNE1/PSMB1/SMARCC1/CDK4/PSMB2/CDKN3/EGFR/EIF4G1/DPF2/PBRM1/TFDP1/CUL4B/KHDRBS1/SMARCE1/PSMB6/PSMA3/CCNG1/CDK10/CCND1/PSMB4/RDX/CCND2/PPP2CA/MYC/MUC1/RRM2/PSMA6/CUL2/CCNB1/BRD7/CCNB3/RPA2/STIL/BCL7B/CCNH/CDC7/E2F1/PSME1/CCNB2/ACTB/PSMB5/FHL1/RPS27L/ACTL6A/PSMA7/CDC25A/ADAMTS1/PSME3/PIM1/CACUL1/RCC1/RRM1/PSMB7/KLF4/SMARCA4/APPL1/PPP6C/PSMB3/SKP1/SMARCD1/SKP2/ARID1B/AKT1/DLG1/PKD1/INO80/INHBA/CCNI/KANK2/TCF3/CCND3/SMARCB1/PTPN6/CDKN1A/BCL7A/CUL1/BCL7C/CCNA2/SLFN11/CCNE2/PRMT2/PLK2/TRIAP1/CDC6/CACNB4",91
"GO:0044843","GO:0044843","cell cycle G1/S phase transition","100/3911","220/12961",0.454545454545455,1.50635736035889,4.97953545456233,1.05222158230389e-06,0.000856867762610907,0.000856867762610907,"PLK3/PSMA4/LSM11/RPS6KB1/CCNF/DGKZ/CCNE1/TCIM/MLF1/PSMB1/SMARCC1/CDK4/PSMB2/CDKN3/EGFR/EIF4G1/DPF2/TMSB4X/PBRM1/TFDP1/CUL4B/KHDRBS1/SMARCE1/PSMB6/PSMA3/CCNG1/CDK10/CCND1/PSMB4/RDX/CCND2/PPP2CA/MYC/MUC1/RRM2/PSMA6/CUL2/CCNB1/BRD7/CCNB3/RPA2/STIL/BCL7B/CCNH/CDC7/E2F1/PSME1/CCNB2/PLCG2/ACTB/PSMB5/FHL1/RPS27L/ACTL6A/PSMA7/CDC25A/ADAMTS1/PSME3/PIM1/PAGR1/CACUL1/RCC1/RRM1/PSMB7/TBX2/KLF4/SMARCA4/APPL1/PPP6C/PSMB3/FBXW7/SKP1/SMARCD1/SKP2/ARID1B/AKT1/DLG1/PKD1/INO80/INHBA/SACK1D/CCNI/ATP2B4/KANK2/TCF3/CCND3/SMARCB1/PTPN6/CDKN1A/BCL7A/CUL1/BCL7C/CCNA2/SLFN11/CCNE2/PRMT2/PLK2/TRIAP1/CDC6/CACNB4",100
"GO:0043484","GO:0043484","regulation of RNA splicing","84/3911","178/12961",0.471910112359551,1.56390359659732,4.97989963855591,1.16444852228234e-06,0.000856867762610907,0.000856867762610907,"PTBP1/RBM47/SRSF6/RBFOX2/RPS26/PRPF8/SNRPD3/TAF5L/PRDX6/RBPMS2/RBM20/EFTUD2/ANGEL2/ZBTB7A/FAM50A/RBM11/DAZAP1/C1QBP/RRP1B/RBM19/KHDRBS1/RBM15B/SNRNP70/RBM38/RBM23/RBM22/SNRPB/HNRNPA1/CELF4/MBNL2/HNRNPL/CLK1/TAF6L/TADA2B/ZNF326/HNRNPH2/PQBP1/SNRNP200/H1-2/SNRPD2/CLNS1A/ZPR1/ACIN1/AHNAK/CELF2/AKAP17A/USP22/CCAR2/TADA3/KAT2A/RBM39/ATXN7L3/GRSF1/CCNL1/MBNL3/HNRNPU/RBM15/AAR2/HSPA1A/DDX5/TMBIM6/FASTK/NCBP1/SFSWAP/ARGLU1/RBM8A/THRAP3/SNRPG/SF3B3/MBNL1/PRMT5/TRRAP/RBM24/FUS/WDR77/NUP98/SGF29/ERN1/SRSF9/PUF60/SNRPD1/U2AF2/HNRNPF/SMU1",84
"GO:0141188","GO:0141188","nucleic acid catabolic process","149/3911","357/12961",0.417366946778712,1.38314829895139,4.82579569568847,1.73441852947071e-06,0.00111674873066295,0.00111674873066295,"RBM47/ALYREF/TRAF5/RIOK3/LSM11/SYNCRIP/SNRPD3/DHX34/SKIC8/SAMD4B/PNPT1/TENT2/TUT7/INTS11/PDE12/FEN1/AGO1/NYNRIN/ZC3H18/INTS3/ANGEL2/TIRAP/ARMC5/LARP1B/CNOT3/SMG7/ZC3H12A/BAX/INTS7/SSB/IGF2BP1/PUM2/NME1/C1QBP/NSUN2/PAIP1/RNASEH1/TTC5/RBM38/METTL1/CASC3/DNASE1L1/LSM2/PPP1R8/ELAVL1/YBX1/CAPRIN1/DNA2/PPP2CA/DICER1/BTG2/RNH1/ALKBH5/FXR2/SNRPB/N4BP2/RNASET2/XRN2/FASTKD5/RNASEH2A/DDX6/KHNYN/CIRBP/LSM14B/INTS2/ATM/EXOSC10/NEAT1/MRTO4/CSDE1/DKC1/ZFC3H1/ZFP36L1/ROCK1/KHSRP/ZFP36/IGF2BP2/E2F1/CNOT7/POP1/ZPR1/TRIR/NT5C3B/PABPC1/PIAS4/CNOT11/TOB1/RBM27/CASP3/APEX1/HNRNPA0/GRSF1/ELOB/HNRNPU/LSM4/PATL1/TUT1/POLR2G/HSPA1A/DDX5/AKT1/FASTK/XRN1/NCBP1/EDC4/PABPN1/NRDE2/RBM33/RBM8A/WDR82/THRAP3/NANOS1/SNRPG/DXO/VIM/RNF10/GDNF/CNOT9/SMG9/CPSF2/LARP1/MOV10/RBM24/FUS/SLIRP/ZC3H4/NBDY/ZNF598/INTS5/EXOSC3/LARP4B/ERN1/OIP5-AS1/DDX49/HSPA1B/SLFN5/SMG6/PNN/CSTF2/CARHSP1/PPP2R1A/ZCCHC8/DIS3L/PRKCA/LSM7/INTS14/RNASEH2C/LSM3/LSM5",149
"GO:0044772","GO:0044772","mitotic cell cycle phase transition","158/3911","384/12961",0.411458333333333,1.36356723557487,4.75427105892408,2.33903616752268e-06,0.00133870836654548,0.00133870836654548,"UBE2C/PLK3/PSMA4/LSM11/RPS6KB1/CCNF/RAB11A/DGKZ/CCNE1/PSMB1/TFAP4/SMARCC1/ZWILCH/CCNY/CDK4/CDC25B/INTS3/PSMB2/PLK1/SPC24/CDKN3/PPP2R2D/EGFR/EIF4G1/MIIP/DPF2/UBE2A/PBRM1/TFDP1/SPAST/CUL4B/KHDRBS1/SMARCE1/PSMB6/PSMA3/CCNG1/CDK10/CCND1/ANAPC7/PSMB4/XPC/CDC20/RDX/CCND2/PPP2CA/MYC/MUC1/RRM2/XRCC3/DNM2/CDK5RAP3/BRD4/PSMA6/ATM/CUL2/AURKB/CCNB1/STK35/BRCC3/INCENP/BRD7/NABP2/ZW10/CCNB3/ENSA/FOXM1/RPA2/ZFP36L1/STIL/BCL7B/CCNH/NBN/MASTL/DYNLRB1/FZR1/CDC7/E2F1/PSME1/CCNB2/RAD50/ACTB/SPC25/DDB1/PSMB5/USP22/FHL1/RPS27L/ACTL6A/ANLN/PSMA7/TRIP13/RBBP8/CDC25A/ERCC2/ADAMTS1/PSME3/PIM1/TEX14/CACUL1/RCC1/RRM1/PSMB7/ESPL1/KLF4/KNTC1/SMARCA4/APPL1/USP44/PPP6C/PSMB3/SKP1/SMARCD1/BIRC5/SKP2/ARID1B/AKT1/CDC27/DLG1/PKD1/ORC1/INO80/SKA1/INHBA/CCNI/TACC3/RCC2/KANK2/CDCA8/TCF3/DTL/CCND3/SMARCB1/BRSK1/PTPN6/CHMP4B/CDKN1A/BCL7A/CUL1/BCL7C/NDC80/CCNA2/ABCB1/TICRR/CTDP1/ARPP19/SLFN11/CCNE2/USH1C/PRMT2/PKMYT1/PLK2/TRIAP1/CDC6/CACNB4/PDIK1L/DBF4B/ZWINT/SIRT2",158
"GO:1902806","GO:1902806","regulation of cell cycle G1/S phase transition","77/3911","163/12961",0.47239263803681,1.56550268002943,4.77616735507534,3.0493165588163e-06,0.00157070295944628,0.00157070295944628,"PLK3/PSMA4/LSM11/DGKZ/CCNE1/TCIM/MLF1/PSMB1/SMARCC1/PSMB2/EGFR/EIF4G1/DPF2/TMSB4X/PBRM1/TFDP1/SMARCE1/PSMB6/PSMA3/CDK10/CCND1/PSMB4/RDX/CCND2/PPP2CA/MUC1/RRM2/PSMA6/BRD7/RPA2/STIL/BCL7B/CCNH/E2F1/PSME1/PLCG2/ACTB/PSMB5/FHL1/RPS27L/ACTL6A/PSMA7/ADAMTS1/PSME3/PIM1/PAGR1/RRM1/PSMB7/TBX2/KLF4/SMARCA4/APPL1/PSMB3/FBXW7/SMARCD1/ARID1B/AKT1/DLG1/PKD1/INO80/INHBA/SACK1D/ATP2B4/KANK2/TCF3/CCND3/SMARCB1/PTPN6/CDKN1A/BCL7A/BCL7C/SLFN11/CCNE2/PRMT2/TRIAP1/CDC6/CACNB4",77
